,train_loss
0,0.457164466381
1,0.358441829681
2,0.203162640333
3,0.0679897814989
4,0.00607568165287
5,0.00329167139716
6,0.011609075591
7,0.0179543141276
8,0.0174952335656
9,0.015438342467
10,0.00779273221269
11,0.00104619003832
12,3.0488561606e-05
13,0.00140014989302
14,0.00580685120076
15,0.00411429116502
16,0.000954310060479
17,0.00514900078997
18,0.00556103419513
19,0.00104928412475
20,0.00253890175372
21,0.00872118305415
22,0.0641943365335
23,0.0678547397256
24,0.0113670723513
25,0.00846437178552
26,0.0206873770803
27,0.00391581561416
28,0.00134034198709
29,0.000623061670922
30,0.00611937604845
31,0.0274014472961
32,0.0543821156025
33,0.0626941472292
34,0.01542503573
35,0.00281570549123
36,0.000411086803069
37,0.0136449607089
38,0.0295126345009
39,0.0275760181248
40,0.00105693063233
41,0.0520492866635
42,0.101589366794
43,0.174130141735
44,0.257374823093
45,0.289238154888
46,0.164523795247
47,0.0400280840695
48,0.0391168259084
49,0.285975128412
50,0.357650458813
51,0.341964423656
52,0.181116983294
53,0.0460221655667
54,8.82298081706e-06
55,0.0251323468983
56,0.0814411640167
57,0.114621020854
58,0.118577480316
59,0.104873135686
60,0.0743793398142
61,0.0370908342302
62,0.00991595070809
63,0.000207368429983
64,0.00734532345086
65,0.0180514119565
66,0.0219126865268
67,0.0207383744419
68,0.0123661933467
69,0.00505525479093
70,0.0016778614372
71,5.05044372403e-05
72,0.00071330688661
73,0.000591935648117
74,0.00522283371538
75,0.0125188734382
76,0.0117399785668
77,0.00517190340906
78,0.000563689682167
79,0.00102692551445
80,0.00101141689811
81,0.000771370832808
82,0.00164289365057
83,0.00249040359631
84,0.000680810888298
85,6.19188795099e-05
86,0.000940294761676
87,0.00147177744657
88,0.000539845612366
89,0.000427427527029
90,0.004487299826
91,0.00489755813032
92,0.00329813128337
93,0.00324050197378
94,0.00136137125082
95,0.000776103115641
96,0.000557730323635
97,4.28138700954e-05
98,0.000356283882866
99,0.00890417490155
100,0.00539463479072
101,0.00142147333827
102,0.00035029524588
103,3.91082066926e-05
104,0.00100336072501
105,0.000864968460519
106,0.00013786375348
107,0.00115292635746
108,0.00284392014146
109,0.00193695502821
110,0.000980291166343
111,0.00132702849805
112,0.00120341195725
113,0.000940294296015
114,0.000316035235301
115,1.65421406564e-05
116,0.000948088360019
117,0.00427270960063
118,0.002806909848
119,0.00177744100802
120,0.00111746403854
121,0.0157697089016
122,0.0366123504937
123,0.0263455919921
124,0.0139874843881
125,0.00495516182855
126,0.000862781715114
127,6.66991909384e-05
128,0.00246114959009
129,0.0165343787521
130,0.0466796681285
131,0.0653116777539
132,0.0415721684694
133,0.00340824085288
134,0.00417691562325
135,0.0130242109299
136,0.023793656379
137,0.0318583659828
138,0.0288407690823
139,0.0239280462265
140,0.0091630956158
141,0.00188414228614
142,0.000472204235848
143,0.00481950910762
144,0.0173449479043
145,0.0276140682399
146,0.0213002450764
147,0.0207478962839
148,0.0234197154641
149,0.00760899111629
150,0.00400938466191
